"ï..Numero"	"mpg"	"displacement"	"horsepower"	"weight"	"acceleration"	"origin"	"groupe"
1	35	72	69	1613	18	"japanese"	"2"
2	31	76	52	1649	17	"japanese"	"2"
3	39	79	58	1755	17	"japanese"	"2"
4	35	81	60	1760	16	"japanese"	"2"
5	31	71	65	1773	19	"japanese"	"2"
6	33	91	53	1795	18	"japanese"	"2"
7	33	91	53	1795	17	"japanese"	"2"
8	36	98	66	1800	14	"american"	"2"
9	36	91	60	1800	16	"japanese"	"2"
10	30	97	71	1825	12	"european"	"2"
11	36	79	58	1825	19	"european"	"2"
12	27	97	60	1834	19	"european"	"2"
13	26	97	46	1835	21	"european"	"2"
14	32	71	65	1836	21	"japanese"	"2"
15	30	89	62	1845	15	"european"	"2"
16	45	91	67	1850	14	"japanese"	"2"
17	29	68	49	1867	20	"european"	"2"
18	39	86	64	1875	16	"american"	"2"
19	36	98	80	1915	14	"american"	"2"
20	32	89	71	1925	14	"european"	"2"
21	29	90	70	1937	14	"european"	"2"
22	29	90	70	1937	14	"european"	"2"
23	29	97	78	1940	15	"european"	"2"
24	34	85	70	1945	17	"japanese"	"2"
25	26	97	46	1950	21	"european"	"2"
26	31	79	67	1950	19	"japanese"	"2"
27	26	91	70	1955	21	"american"	"2"
28	26	79	67	1963	16	"european"	"2"
29	38	91	67	1965	15	"japanese"	"2"
30	32	91	67	1965	16	"japanese"	"2"
31	38	89	60	1968	19	"japanese"	"2"
32	31	91	68	1970	18	"japanese"	"2"
33	34	86	65	1975	15	"japanese"	"2"
34	37	85	65	1975	19	"japanese"	"2"
35	36	105	74	1980	15	"european"	"2"
36	43	90	48	1985	22	"european"	"2"
37	30	97	67	1985	16	"japanese"	"2"
38	33	78	52	1985	19	"japanese"	"2"
39	34	91	68	1985	16	"japanese"	"2"
40	32	89	71	1990	15	"european"	"2"
41	32	85	70	1990	17	"japanese"	"2"
42	38	91	67	1995	16	"japanese"	"2"
43	31	79	67	2000	16	"european"	"2"
44	32	83	61	2003	19	"japanese"	"2"
45	37	86	65	2019	16	"japanese"	"2"
46	32	85	65	2020	19	"japanese"	"2"
47	37	91	68	2025	18	"japanese"	"2"
48	29	85	52	2035	22	"american"	"2"
49	34	98	65	2045	16	"american"	"2"
50	32	98	68	2045	19	"japanese"	"2"
51	38	89	62	2050	17	"japanese"	"2"
52	31	98	63	2051	17	"american"	"2"
53	30	88	76	2065	15	"european"	"2"
54	32	97	67	2065	18	"japanese"	"2"
55	39	85	70	2070	19	"japanese"	"2"
56	30	79	70	2074	20	"european"	"2"
57	34	98	83	2075	16	"american"	"2"
58	44	90	48	2085	22	"european"	"2"
59	27	97	88	2100	17	"japanese"	"2"
60	24	90	75	2108	16	"european"	"2"
61	47	86	65	2110	18	"japanese"	"2"
62	41	85	65	2110	19	"japanese"	"2"
63	32	98	70	2120	16	"american"	"2"
64	28	116	90	2123	14	"european"	"2"
65	18	70	90	2124	14	"japanese"	"2"
66	28	90	75	2125	15	"american"	"2"
67	38	105	63	2125	15	"american"	"2"
68	36	98	70	2125	17	"american"	"2"
69	25	97	80	2126	17	"american"	"2"
70	37	91	69	2130	15	"european"	"2"
71	44	97	52	2130	25	"european"	"2"
72	27	97	88	2130	15	"japanese"	"2"
73	27	97	88	2130	15	"japanese"	"2"
74	30	98	68	2135	17	"japanese"	"2"
75	42	98	76	2144	15	"european"	"2"
76	34	97	67	2145	18	"japanese"	"2"
77	35	105	70	2150	15	"american"	"2"
78	30	111	80	2155	15	"american"	"2"
79	30	98	68	2155	17	"american"	"2"
80	28	97	75	2155	16	"japanese"	"2"
81	24	116	75	2158	16	"european"	"2"
82	36	120	88	2160	15	"japanese"	"2"
83	28	98	80	2164	15	"american"	"2"
84	25	98	60	2164	22	"american"	"2"
85	29	97	75	2171	16	"japanese"	"2"
86	34	97	78	2188	16	"european"	"2"
87	26	96	69	2189	18	"european"	"2"
88	31	97	78	2190	14	"european"	"2"
89	33	105	74	2190	14	"european"	"2"
90	34	105	70	2200	13	"american"	"2"
91	27	101	83	2202	15	"european"	"2"
92	36	107	75	2205	15	"japanese"	"2"
93	34	107	75	2210	14	"japanese"	"2"
94	35	105	63	2215	15	"american"	"2"
95	29	98	83	2219	17	"european"	"2"
96	23	122	86	2220	14	"american"	"2"
97	25	116	81	2220	17	"european"	"2"
98	25	90	71	2223	17	"european"	"2"
99	21	122	86	2226	17	"american"	"2"
100	25	113	95	2228	14	"japanese"	"2"
101	31	105	75	2230	15	"american"	"2"
102	26	121	113	2234	13	"european"	"2"
103	34	108	70	2245	17	"japanese"	"2"
104	26	116	75	2246	14	"european"	"2"
105	23	97	54	2254	24	"european"	"2"
106	26	98	79	2255	18	"american"	"2"
107	28	140	90	2264	16	"american"	"2"
108	26	98	90	2265	16	"european"	"2"
